Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
57,2.0,0.0,0.0,1041.0,17.0,32.0,4243.0,0.1,-11.888476447341374,0.0,0.0,922.0557546615601,,,,,,,,,,,,,,,,,,,,,-7.854722820705099,2.5241171866407996,-1.095002469903468,-11.660434525695676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1070.0,18.0,29.0,4272.0,0.1,-18.721685377806168,0.0,0.0,925.2469313144684,,,,,,,,,,,,,,,,,,,,,-12.41879879491533,5.384186031284756,-1.1030856616796514,-18.39831845133785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1130.0,19.0,60.0,4332.0,0.1,-51.82289935311249,0.0,0.0,931.5313415527344,,,,,,,,,,,,,,,,,,,,,-27.592244366981422,14.117999309116074,-1.2562911372944092,-50.26785012349047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1163.0,20.0,33.0,4365.0,0.1,-14.21793624699814,0.0,0.0,935.1411991119385,,,,,,,,,,,,,,,,,,,,,-10.14527223782933,3.510130878847944,-1.1025923506774373,-14.103532523557021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,47.0,1.0,47.0,4412.0,0.1,-27.65280322921961,0.0,0.0,1126.6991143226624,,,,,,,,,,,,,,,,,,,,,-17.672567633050903,6.749468459268847,-1.1722828652259814,-26.875917509567838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,101.0,2.0,54.0,4466.0,0.1,-23.64419963853295,0.0,0.0,1132.2179071903229,,,,,,,,,,,,,,,,,,,,,-16.021664802150582,5.877537897828397,-1.219041007820235,-24.22500097174601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,144.0,3.0,43.0,4509.0,0.1,-15.7449731047848,0.0,0.0,1136.9132404327393,,,,,,,,,,,,,,,,,,,,,-14.197739452135217,5.413789539691104,-1.1616224102292245,-21.499062390156553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,171.0,4.0,27.0,4536.0,0.1,-17.552877804695452,0.0,0.0,1140.0344243049622,,,,,,,,,,,,,,,,,,,,,-12.107191645762603,5.8228315349478565,-1.0777361927946827,-20.527378082411197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,196.0,5.0,25.0,4561.0,0.1,-21.74693259917268,0.0,0.0,1142.8545207977295,,,,,,,,,,,,,,,,,,,,,-11.970690553989746,6.238882233771292,-1.0879937502399324,-21.49062509488762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,218.0,6.0,22.0,4583.0,0.1,-11.960129645101285,0.0,0.0,1145.604139328003,,,,,,,,,,,,,,,,,,,,,-8.730238584233147,3.5650536144258536,-1.060637917073373,-12.903788237360597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
